algorithm, operation, iteration, time_ns  , time_ms
RSA      , keygen   ,         1, 436049087, 436.049087
RSA      , keygen   ,         2, 278094260, 278.094260
RSA      , keygen   ,         3, 163167429, 163.167429
RSA      , keygen   ,         4, 702921628, 702.921628
RSA      , keygen   ,         5, 467221405, 467.221405
RSA      , keygen   ,         6, 181346689, 181.346689
RSA      , keygen   ,         7, 326632696, 326.632696
RSA      , keygen   ,         8, 211682846, 211.682846
RSA      , keygen   ,         9, 307444829, 307.444829
RSA      , keygen   ,        10, 208813120, 208.813120
RSA      , keygen   ,        11, 206121410, 206.121410
RSA      , keygen   ,        12, 425230009, 425.230009
RSA      , keygen   ,        13, 274309672, 274.309672
RSA      , keygen   ,        14, 173078117, 173.078117
RSA      , keygen   ,        15, 334723338, 334.723338
RSA      , keygen   ,        16, 181161043, 181.161043
RSA      , keygen   ,        17, 530989612, 530.989612
RSA      , keygen   ,        18, 174523465, 174.523465
RSA      , keygen   ,        19, 898823878, 898.823878
RSA      , keygen   ,        20, 242387199, 242.387199
RSA      , keygen   ,        21, 698907596, 698.907596
RSA      , keygen   ,        22, 274306100, 274.306100
RSA      , keygen   ,        23, 402641165, 402.641165
RSA      , keygen   ,        24, 637341800, 637.341800
RSA      , keygen   ,        25, 581895818, 581.895818
RSA      , keygen   ,        26,  95722467,  95.722467
RSA      , keygen   ,        27, 715882373, 715.882373
RSA      , keygen   ,        28, 389791613, 389.791613
RSA      , keygen   ,        29, 526946575, 526.946575
RSA      , keygen   ,        30, 419221913, 419.221913
ED25519  , keygen   ,         1,   4624519,   4.624519
ED25519  , keygen   ,         2,   4822479,   4.822479
ED25519  , keygen   ,         3,   4541974,   4.541974
ED25519  , keygen   ,         4,   5366989,   5.366989
ED25519  , keygen   ,         5,   6229813,   6.229813
ED25519  , keygen   ,         6,   6430331,   6.430331
ED25519  , keygen   ,         7,   7485038,   7.485038
ED25519  , keygen   ,         8,   7514951,   7.514951
ED25519  , keygen   ,         9,   6304449,   6.304449
ED25519  , keygen   ,        10,   7338032,   7.338032
