algorithm,level,input_bytes,compressed_bytes,compression_ratio,savings_percent,mean_ms,median_ms,stddev_ms,min_ms,max_ms,user_ms,system_ms,input_file
gzip,1,32768,1133,28.9214,96.54,1.748,2.006,0.617,0.506,3.402,0.549,0.960,index.html
gzip,2,32768,1134,28.8959,96.54,1.810,2.100,0.544,0.516,2.579,0.544,1.017,index.html
gzip,3,32768,1134,28.8959,96.54,1.822,2.105,0.511,0.515,2.559,0.548,1.028,index.html
gzip,4,32768,1120,29.2571,96.58,1.819,2.059,0.552,0.549,2.401,0.618,0.965,index.html
gzip,5,32768,1120,29.2571,96.58,1.929,2.219,0.532,0.559,2.509,0.645,1.030,index.html
gzip,6,32768,1120,29.2571,96.58,1.768,2.064,0.596,0.557,2.782,0.594,0.943,index.html
gzip,7,32768,1120,29.2571,96.58,1.757,1.725,0.516,0.554,2.613,0.580,0.949,index.html
gzip,8,32768,1116,29.3620,96.59,1.952,2.186,0.558,0.601,2.919,0.739,0.967,index.html
gzip,9,32768,1116,29.3620,96.59,1.798,1.899,0.572,0.601,2.981,0.651,0.923,index.html
brotli,1,32768,820,39.9610,97.50,2.287,2.621,0.729,0.751,3.254,0.623,1.420,index.html
brotli,2,32768,721,45.4480,97.80,2.136,1.972,0.832,0.890,3.454,0.615,1.319,index.html
brotli,3,32768,691,47.4211,97.89,2.434,3.007,0.932,0.858,3.511,0.720,1.481,index.html
brotli,4,32768,633,51.7662,98.07,2.101,1.975,0.839,1.008,4.263,0.622,1.302,index.html
brotli,5,32768,606,54.0726,98.15,2.144,1.580,0.951,1.022,3.989,0.791,1.177,index.html
brotli,6,32768,606,54.0726,98.15,1.957,1.408,1.019,1.030,4.113,0.674,1.119,index.html
brotli,7,32768,606,54.0726,98.15,1.772,1.351,0.906,0.992,4.091,0.640,0.985,index.html
brotli,8,32768,606,54.0726,98.15,1.907,1.671,0.736,1.047,4.737,0.729,1.024,index.html
brotli,9,32768,606,54.0726,98.15,2.883,2.525,1.473,1.413,5.847,1.202,1.503,index.html
brotli,10,32768,598,54.7960,98.18,16.726,16.734,0.363,16.014,18.539,15.696,0.899,index.html
brotli,11,32768,658,49.7994,97.99,74.922,74.521,1.714,73.418,82.953,73.828,0.849,index.html
zstd,1,32768,721,45.4480,97.80,3.903,4.644,1.299,1.208,5.231,1.016,2.655,index.html
zstd,2,32768,727,45.0729,97.78,4.396,4.821,0.988,1.687,5.564,1.188,2.953,index.html
zstd,3,32768,702,46.6781,97.86,4.485,5.169,1.353,1.274,5.737,1.165,3.080,index.html
zstd,4,32768,708,46.2825,97.84,4.302,5.154,1.457,1.345,5.693,1.087,2.987,index.html
zstd,5,32768,708,46.2825,97.84,4.449,5.091,1.272,1.287,5.975,1.181,3.024,index.html
zstd,6,32768,708,46.2825,97.84,4.646,5.401,1.393,1.411,6.068,1.354,3.048,index.html
zstd,7,32768,745,43.9839,97.73,4.395,5.471,1.627,1.832,6.623,1.265,2.900,index.html
zstd,8,32768,745,43.9839,97.73,4.616,5.501,1.507,1.520,6.050,1.481,2.895,index.html
zstd,9,32768,745,43.9839,97.73,3.651,3.023,1.919,1.512,6.535,1.213,2.243,index.html
zstd,10,32768,745,43.9839,97.73,3.998,4.381,1.878,1.482,7.729,1.350,2.436,index.html
zstd,11,32768,743,44.1023,97.73,4.404,5.473,1.696,1.487,6.194,1.330,2.857,index.html
zstd,12,32768,743,44.1023,97.73,4.833,5.728,1.599,1.533,6.406,1.412,3.181,index.html
zstd,13,32768,691,47.4211,97.89,5.904,7.434,2.516,2.165,8.945,3.072,2.589,index.html
zstd,14,32768,691,47.4211,97.89,4.667,4.302,2.377,2.333,9.121,2.443,2.033,index.html
zstd,15,32768,730,44.8877,97.77,6.756,4.999,3.305,3.381,12.718,4.515,2.036,index.html
zstd,16,32768,717,45.7015,97.81,13.283,13.288,1.126,11.292,16.015,11.728,1.400,index.html
zstd,17,32768,717,45.7015,97.81,12.764,12.563,0.842,11.567,14.884,11.467,1.137,index.html
zstd,18,32768,717,45.7015,97.81,13.326,13.534,1.100,11.592,16.434,11.941,1.216,index.html
zstd,19,32768,780,42.0103,97.62,21.368,21.444,0.341,20.556,23.058,20.122,1.066,index.html
dcb,1,32768,820,39.9610,97.50,2.503,1.737,1.282,1.604,6.537,1.197,1.162,index.html
dcb,2,32768,722,45.3850,97.80,3.063,2.884,1.170,1.747,6.363,1.453,1.450,index.html
dcb,3,32768,691,47.4211,97.89,2.327,2.259,0.689,1.717,7.002,1.163,1.042,index.html
dcb,4,32768,635,51.6031,98.06,2.508,2.007,1.071,1.860,5.251,1.237,1.141,index.html
dcb,5,32768,94,348.5957,99.71,2.625,1.986,1.399,1.801,6.771,1.306,1.180,index.html
dcb,6,32768,94,348.5957,99.71,2.572,2.453,0.463,1.805,3.518,1.238,1.205,index.html
dcb,7,32768,94,348.5957,99.71,2.084,2.053,0.093,1.935,2.501,1.013,0.963,index.html
dcb,8,32768,94,348.5957,99.71,2.509,2.000,1.244,1.799,6.697,1.230,1.151,index.html
dcb,9,32768,94,348.5957,99.71,2.333,2.330,0.054,2.180,3.136,1.164,1.067,index.html
dcb,10,32768,87,376.6437,99.73,3.765,3.683,0.280,3.409,4.534,2.466,1.185,index.html
dcb,11,32768,97,337.8144,99.70,5.003,4.934,0.259,4.682,5.895,3.736,1.156,index.html
dcz,1,32768,617,53.1086,98.12,4.474,5.173,1.334,1.354,7.200,1.234,2.999,index.html
dcz,2,32768,619,52.9370,98.11,4.450,5.234,1.413,1.388,6.419,1.227,2.979,index.html
dcz,3,32768,805,40.7056,97.54,4.451,4.806,1.409,1.477,6.203,1.266,2.942,index.html
dcz,4,32768,593,55.2580,98.19,4.965,5.778,1.438,1.520,6.990,1.569,3.142,index.html
dcz,5,32768,511,64.1252,98.44,4.643,5.054,1.518,1.772,6.408,1.537,2.872,index.html
dcz,6,32768,545,60.1248,98.34,4.985,5.960,1.439,1.632,7.197,1.711,3.027,index.html
dcz,7,32768,546,60.0147,98.33,5.170,6.249,1.725,1.678,7.702,1.833,3.085,index.html
dcz,8,32768,547,59.9049,98.33,5.656,6.737,2.073,2.005,8.553,2.673,2.739,index.html
dcz,9,32768,549,59.6867,98.32,5.649,5.286,2.790,2.341,9.382,3.187,2.241,index.html
dcz,10,32768,549,59.6867,98.32,5.450,3.931,2.607,2.477,9.346,3.194,2.047,index.html
dcz,11,32768,502,65.2749,98.47,6.715,7.239,2.638,2.594,11.981,4.007,2.471,index.html
dcz,12,32768,493,66.4665,98.50,6.915,6.946,2.721,2.894,11.033,4.392,2.297,index.html
dcz,13,32768,496,66.0645,98.49,7.283,5.776,3.194,3.495,13.170,4.930,2.138,index.html
dcz,14,32768,494,66.3320,98.49,7.128,6.606,2.678,3.743,13.708,4.854,2.074,index.html
dcz,15,32768,542,60.4576,98.35,13.626,13.399,0.894,12.720,18.851,12.196,1.268,index.html
dcz,16,32768,496,66.0645,98.49,7.848,7.469,3.025,3.583,13.207,5.212,2.413,index.html
dcz,17,32768,542,60.4576,98.35,13.559,13.297,0.885,12.716,18.625,12.131,1.257,index.html
dcz,18,32768,542,60.4576,98.35,13.756,13.581,0.856,12.788,16.586,12.204,1.382,index.html
dcz,19,32768,542,60.4576,98.35,13.827,13.849,0.541,12.811,15.193,12.354,1.305,index.html
