algorithm,level,input_bytes,compressed_bytes,compression_ratio,savings_percent,mean_ms,median_ms,stddev_ms,min_ms,max_ms,user_ms,system_ms,input_file
gzip,1,32768,1133,28.9214,96.54,1.594,1.856,0.545,0.420,2.461,0.474,0.880,index.html
gzip,2,32768,1134,28.8959,96.54,1.606,1.740,0.441,0.461,2.455,0.443,0.915,index.html
gzip,3,32768,1134,28.8959,96.54,1.570,1.839,0.509,0.451,2.301,0.468,0.862,index.html
gzip,4,32768,1120,29.2571,96.58,1.522,1.726,0.486,0.431,2.278,0.436,0.850,index.html
gzip,5,32768,1120,29.2571,96.58,1.501,1.722,0.507,0.419,2.159,0.453,0.813,index.html
gzip,6,32768,1120,29.2571,96.58,1.213,1.271,0.623,0.434,2.349,0.397,0.632,index.html
gzip,7,32768,1120,29.2571,96.58,1.517,1.629,0.417,0.449,2.072,0.399,0.887,index.html
gzip,8,32768,1116,29.3620,96.59,1.536,1.735,0.460,0.452,2.118,0.439,0.859,index.html
gzip,9,32768,1116,29.3620,96.59,1.565,1.739,0.452,0.439,2.637,0.422,0.900,index.html
brotli,1,32768,820,39.9610,97.50,2.006,2.228,0.561,0.673,2.798,0.557,1.209,index.html
brotli,2,32768,721,45.4480,97.80,2.014,2.339,0.643,0.656,2.869,0.559,1.216,index.html
brotli,3,32768,691,47.4211,97.89,1.917,2.311,0.681,0.622,2.803,0.519,1.170,index.html
brotli,4,32768,633,51.7662,98.07,1.831,2.007,0.528,0.661,3.303,0.531,1.081,index.html
brotli,5,32768,606,54.0726,98.15,1.764,2.008,0.650,0.635,2.601,0.496,1.059,index.html
brotli,6,32768,606,54.0726,98.15,1.968,2.023,0.466,0.855,2.865,0.523,1.208,index.html
brotli,7,32768,606,54.0726,98.15,1.831,1.780,0.569,0.595,2.798,0.507,1.106,index.html
brotli,8,32768,606,54.0726,98.15,1.904,1.806,0.549,0.643,2.778,0.541,1.133,index.html
brotli,9,32768,606,54.0726,98.15,2.010,2.349,0.645,0.650,3.072,0.529,1.244,index.html
brotli,10,32768,598,54.7960,98.18,1.725,1.642,0.655,0.641,2.699,0.466,1.058,index.html
brotli,11,32768,658,49.7994,97.99,2.109,2.388,0.611,0.659,3.523,0.579,1.284,index.html
zstd,1,32768,721,45.4480,97.80,3.327,3.763,0.941,0.951,4.160,0.926,2.178,index.html
zstd,2,32768,727,45.0729,97.78,3.176,3.750,1.038,0.927,4.223,0.895,2.073,index.html
zstd,3,32768,702,46.6781,97.86,2.586,3.687,1.302,0.888,4.471,0.809,1.610,index.html
zstd,4,32768,708,46.2825,97.84,3.317,3.762,0.945,0.998,4.770,0.970,2.124,index.html
zstd,5,32768,708,46.2825,97.84,3.290,3.761,0.951,0.938,4.435,0.932,2.136,index.html
zstd,6,32768,708,46.2825,97.84,3.238,3.749,1.015,0.939,4.276,0.919,2.101,index.html
zstd,7,32768,745,43.9839,97.73,3.424,3.768,0.883,0.900,5.615,0.975,2.219,index.html
zstd,8,32768,745,43.9839,97.73,3.332,3.757,0.946,0.866,4.507,0.959,2.150,index.html
zstd,9,32768,745,43.9839,97.73,2.397,1.939,1.320,0.870,4.270,0.714,1.531,index.html
zstd,10,32768,745,43.9839,97.73,3.047,3.742,1.133,0.898,4.801,0.892,1.951,index.html
zstd,11,32768,743,44.1023,97.73,3.206,3.752,1.052,0.895,4.252,0.946,2.049,index.html
zstd,12,32768,743,44.1023,97.73,3.173,3.763,1.099,0.895,4.072,0.955,2.007,index.html
zstd,13,32768,691,47.4211,97.89,3.615,3.781,0.594,1.364,4.128,1.032,2.337,index.html
zstd,14,32768,691,47.4211,97.89,3.218,3.755,1.019,0.890,4.661,0.948,2.063,index.html
zstd,15,32768,730,44.8877,97.77,3.327,3.761,0.959,0.929,4.114,1.003,2.103,index.html
zstd,16,32768,717,45.7015,97.81,3.451,3.768,0.809,0.940,4.233,1.003,2.217,index.html
zstd,17,32768,717,45.7015,97.81,3.358,3.765,0.923,0.925,5.159,0.986,2.151,index.html
zstd,18,32768,717,45.7015,97.81,3.234,3.757,1.028,0.880,4.733,0.957,2.065,index.html
zstd,19,32768,780,42.0103,97.62,3.227,3.752,1.027,0.935,4.634,0.975,2.039,index.html
dcb,1,32768,820,39.9610,97.50,1.728,1.688,0.509,0.656,2.802,0.518,1.012,index.html
dcb,2,32768,722,45.3850,97.80,1.931,1.798,0.666,0.645,2.954,0.529,1.182,index.html
dcb,3,32768,691,47.4211,97.89,1.989,1.936,0.571,0.635,2.809,0.568,1.187,index.html
dcb,4,32768,635,51.6031,98.06,2.195,2.514,0.689,0.615,3.089,0.592,1.352,index.html
dcb,5,32768,94,348.5957,99.71,2.171,2.528,0.662,0.672,3.029,0.560,1.362,index.html
dcb,6,32768,94,348.5957,99.71,1.992,2.385,0.675,0.635,2.703,0.529,1.230,index.html
dcb,7,32768,94,348.5957,99.71,1.792,1.729,0.615,0.620,2.785,0.484,1.101,index.html
dcb,8,32768,94,348.5957,99.71,1.739,2.360,0.872,0.651,3.026,0.471,1.068,index.html
dcb,9,32768,94,348.5957,99.71,1.428,1.240,0.670,0.635,2.971,0.430,0.834,index.html
dcb,10,32768,87,376.6437,99.73,1.995,2.377,0.659,0.637,2.827,0.511,1.249,index.html
