algorithm,level,input_bytes,compressed_bytes,compression_ratio,savings_percent,mean_ms,median_ms,stddev_ms,min_ms,max_ms,user_ms,system_ms,input_file
gzip,1,32768,1133,28.9214,96.54,7.609,7.597,0.538,6.575,11.256,0.615,0.772,index.html
gzip,2,32768,1134,28.8959,96.54,7.662,7.661,0.475,6.443,10.019,0.639,0.803,index.html
gzip,3,32768,1134,28.8959,96.54,7.753,7.689,0.495,6.618,10.481,0.634,0.798,index.html
gzip,4,32768,1120,29.2571,96.58,8.142,7.786,4.844,6.700,98.397,0.695,0.828,index.html
gzip,5,32768,1120,29.2571,96.58,7.850,7.817,0.432,6.693,9.680,0.684,0.814,index.html
gzip,6,32768,1120,29.2571,96.58,7.799,7.734,0.919,6.431,19.807,0.660,0.776,index.html
gzip,7,32768,1120,29.2571,96.58,7.807,7.805,0.386,6.790,9.831,0.663,0.781,index.html
gzip,8,32768,1116,29.3620,96.59,7.868,7.836,0.375,6.927,9.928,0.687,0.787,index.html
gzip,9,32768,1116,29.3620,96.59,7.924,7.823,2.073,6.217,50.017,0.679,0.775,index.html
brotli,1,32768,820,39.9610,97.50,7.131,6.837,4.581,5.868,99.485,0.888,1.149,index.html
brotli,2,32768,721,45.4480,97.80,6.943,6.866,0.375,6.099,9.670,0.902,1.166,index.html
brotli,3,32768,691,47.4211,97.89,6.950,6.878,0.381,6.055,9.917,0.922,1.175,index.html
brotli,4,32768,633,51.7662,98.07,6.962,6.894,0.407,6.038,10.225,0.945,1.189,index.html
brotli,5,32768,606,54.0726,98.15,6.993,6.930,0.314,6.068,9.210,0.962,1.167,index.html
brotli,6,32768,606,54.0726,98.15,7.294,6.956,4.619,6.147,95.584,0.972,1.172,index.html
brotli,7,32768,606,54.0726,98.15,7.360,6.987,6.107,5.948,131.050,0.986,1.172,index.html
brotli,8,32768,606,54.0726,98.15,7.093,6.990,0.540,6.217,13.943,0.995,1.181,index.html
