algorithm,level,input_bytes,compressed_bytes,compression_ratio,savings_percent,mean_ms,median_ms,stddev_ms,min_ms,max_ms,user_ms,system_ms,input_file
gzip,1,32768,1133,28.9214,96.54,7.698,7.636,0.649,6.377,13.644,0.607,0.794,index.html
gzip,2,32768,1134,28.8959,96.54,8.142,7.654,7.040,6.282,145.561,0.633,0.840,index.html
gzip,3,32768,1134,28.8959,96.54,7.657,7.640,0.469,6.566,9.727,0.609,0.791,index.html
gzip,4,32768,1120,29.2571,96.58,7.605,7.589,0.479,6.259,9.567,0.612,0.812,index.html
gzip,5,32768,1120,29.2571,96.58,8.241,7.650,9.315,6.317,193.806,0.641,0.854,index.html
gzip,6,32768,1120,29.2571,96.58,7.517,7.531,0.444,6.559,9.529,0.592,0.775,index.html
gzip,7,32768,1120,29.2571,96.58,7.671,7.604,0.511,6.788,9.904,0.638,0.847,index.html
gzip,8,32768,1116,29.3620,96.59,7.774,7.732,0.441,6.230,9.931,0.624,0.824,index.html
gzip,9,32768,1116,29.3620,96.59,7.681,7.650,0.479,6.472,10.062,0.614,0.810,index.html
brotli,1,32768,820,39.9610,97.50,7.228,6.848,6.639,6.248,146.916,0.875,1.152,index.html
brotli,2,32768,721,45.4480,97.80,7.110,6.799,4.633,6.040,103.116,0.865,1.146,index.html
brotli,3,32768,691,47.4211,97.89,6.870,6.812,0.356,6.135,9.725,0.853,1.123,index.html
brotli,4,32768,633,51.7662,98.07,6.996,6.826,1.069,6.267,20.768,0.877,1.162,index.html
brotli,5,32768,606,54.0726,98.15,6.899,6.838,0.376,6.176,9.280,0.870,1.154,index.html
brotli,6,32768,606,54.0726,98.15,6.932,6.877,0.362,6.010,9.392,0.881,1.167,index.html
brotli,7,32768,606,54.0726,98.15,6.953,6.913,0.350,5.926,9.083,0.885,1.174,index.html
brotli,8,32768,606,54.0726,98.15,7.751,6.918,9.014,6.168,133.342,0.895,1.179,index.html
brotli,9,32768,606,54.0726,98.15,6.967,6.901,0.412,5.952,9.857,0.883,1.174,index.html
brotli,10,32768,598,54.7960,98.18,6.945,6.907,0.312,6.134,8.757,0.879,1.159,index.html
brotli,11,32768,658,49.7994,97.99,7.377,6.909,7.847,6.220,163.034,0.892,1.174,index.html
zstd,1,32768,721,45.4480,97.80,7.720,7.207,8.742,6.286,180.823,1.161,1.263,index.html
zstd,2,32768,727,45.0729,97.78,7.274,7.214,0.405,6.563,10.385,1.136,1.229,index.html
zstd,3,32768,702,46.6781,97.86,7.994,7.234,7.056,6.464,129.046,1.159,1.263,index.html
zstd,4,32768,708,46.2825,97.84,7.353,7.193,1.831,6.451,42.953,1.142,1.247,index.html
zstd,5,32768,708,46.2825,97.84,7.553,7.126,6.858,6.524,144.849,1.136,1.230,index.html
zstd,6,32768,708,46.2825,97.84,7.276,7.224,0.389,6.408,9.829,1.136,1.240,index.html
zstd,7,32768,745,43.9839,97.73,7.968,7.205,8.783,6.471,168.385,1.173,1.281,index.html
zstd,8,32768,745,43.9839,97.73,7.172,7.097,0.424,6.285,10.255,1.128,1.225,index.html
zstd,9,32768,745,43.9839,97.73,7.324,7.262,0.379,6.458,10.629,1.141,1.240,index.html
zstd,10,32768,745,43.9839,97.73,7.704,7.237,6.670,6.504,137.531,1.160,1.264,index.html
zstd,11,32768,743,44.1023,97.73,7.708,7.257,6.800,6.434,142.641,1.149,1.250,index.html
zstd,12,32768,743,44.1023,97.73,10.404,7.518,15.759,6.747,95.260,1.207,1.305,index.html
zstd,13,32768,691,47.4211,97.89,8.182,7.298,10.797,6.553,181.930,1.171,1.278,index.html
