algorithm,level,input_bytes,compressed_bytes,compression_ratio,savings_percent,mean_ms,median_ms,stddev_ms,min_ms,max_ms,user_ms,system_ms,input_file
gzip,1,33059,1139,29.0246,96.55,24.091,23.642,3.183,22.113,53.706,10.789,9.425,index.html
gzip,2,33059,1137,29.0756,96.56,23.501,23.010,2.178,22.016,37.987,10.296,8.600,index.html
gzip,3,33059,1137,29.0756,96.56,23.183,23.010,0.974,22.144,29.020,7.628,10.704,index.html
gzip,4,33059,1122,29.4643,96.61,23.061,23.019,0.597,21.996,24.818,7.941,9.606,index.html
gzip,5,33059,1122,29.4643,96.61,23.120,22.958,0.984,21.920,30.020,8.053,8.894,index.html
gzip,6,33059,1122,29.4643,96.61,23.227,23.065,1.299,22.054,35.234,9.843,9.719,index.html
gzip,7,33059,1122,29.4643,96.61,23.110,22.913,1.101,22.075,33.549,8.789,10.498,index.html
gzip,8,33059,1119,29.5433,96.62,23.399,22.986,2.040,22.180,36.508,9.921,9.921,index.html
gzip,9,33059,1119,29.5433,96.62,23.617,22.924,4.782,21.838,73.403,9.868,9.281,index.html
brotli,1,33059,882,37.4819,97.33,17.941,17.806,1.203,16.980,31.922,6.629,7.670,index.html
brotli,2,33059,735,44.9782,97.78,17.966,17.856,0.705,16.983,24.135,6.593,7.045,index.html
brotli,3,33059,693,47.7042,97.90,17.979,17.839,1.014,17.009,26.394,7.342,6.589,index.html
brotli,4,33059,647,51.0958,98.04,18.081,18.007,0.729,17.215,24.291,6.944,7.493,index.html
brotli,5,33059,623,53.0642,98.12,18.110,18.011,0.604,17.227,21.242,7.812,6.871,index.html
brotli,6,33059,623,53.0642,98.12,18.146,17.923,0.969,17.267,26.242,7.812,6.683,index.html
brotli,7,33059,623,53.0642,98.12,18.176,18.100,0.739,17.281,24.539,7.762,6.855,index.html
brotli,8,33059,623,53.0642,98.12,18.157,18.063,0.554,17.299,21.006,6.818,6.913,index.html
brotli,9,33059,624,52.9792,98.11,18.544,18.332,1.188,17.567,30.027,6.726,7.657,index.html
brotli,10,33059,603,54.8242,98.18,29.414,27.466,16.557,26.675,193.582,10.318,12.235,index.html
brotli,11,33059,678,48.7596,97.95,62.671,62.328,1.374,61.574,71.102,41.223,22.606,index.html
zstd,1,33059,727,45.4732,97.80,6.352,6.295,0.277,5.866,7.758,1.744,1.576,index.html
zstd,2,33059,730,45.2863,97.79,6.438,6.340,0.500,5.920,12.181,1.587,1.869,index.html
zstd,3,33059,707,46.7595,97.86,6.439,6.374,0.262,5.965,7.901,2.007,1.305,index.html
zstd,4,33059,713,46.3661,97.84,6.495,6.456,0.240,6.096,7.954,1.596,2.115,index.html
zstd,5,33059,713,46.3661,97.84,6.498,6.435,0.279,6.020,7.961,1.498,1.748,index.html
zstd,6,33059,712,46.4312,97.85,6.585,6.493,0.467,6.044,10.876,1.706,1.628,index.html
zstd,7,33059,749,44.1375,97.73,6.564,6.532,0.239,6.131,7.742,1.740,1.672,index.html
zstd,8,33059,749,44.1375,97.73,6.550,6.498,0.263,6.072,8.131,1.517,1.905,index.html
zstd,9,33059,749,44.1375,97.73,6.658,6.568,0.345,6.174,8.585,1.693,1.732,index.html
zstd,10,33059,749,44.1375,97.73,6.697,6.642,0.323,6.175,8.408,1.940,1.552,index.html
zstd,11,33059,746,44.3150,97.74,6.705,6.624,0.400,6.209,11.116,1.973,1.499,index.html
zstd,12,33059,746,44.3150,97.74,6.716,6.619,0.407,6.165,11.204,1.647,2.013,index.html
zstd,13,33059,694,47.6354,97.90,7.037,6.966,0.346,6.404,8.859,1.881,1.920,index.html
zstd,14,33059,696,47.4986,97.89,7.170,7.099,0.395,6.609,10.387,2.075,1.790,index.html
zstd,15,33059,733,45.1010,97.78,7.649,7.548,0.514,7.065,12.594,2.127,2.454,index.html
zstd,16,33059,728,45.4107,97.80,11.765,11.657,0.491,11.104,15.390,4.803,3.769,index.html
zstd,17,33059,728,45.4107,97.80,12.074,11.945,0.726,11.381,18.429,4.528,4.273,index.html
zstd,18,33059,728,45.4107,97.80,12.032,11.923,0.447,11.392,13.968,4.322,4.521,index.html
zstd,19,33059,797,41.4793,97.59,16.574,16.530,0.446,15.772,18.396,6.444,6.797,index.html
dcb,1,33059,882,37.4819,97.33,18.503,18.424,0.616,17.545,22.541,8.224,7.093,index.html
dcb,2,33059,735,44.9782,97.78,18.720,18.544,1.075,17.618,27.483,7.011,7.712,index.html
dcb,3,33059,693,47.7042,97.90,18.524,18.474,0.573,17.508,21.175,6.789,7.812,index.html
dcb,4,33059,649,50.9384,98.04,18.780,18.721,0.721,17.772,24.929,8.488,6.944,index.html
dcb,5,33059,130,254.3000,99.61,18.840,18.692,1.043,17.829,27.033,8.156,7.174,index.html
dcb,6,33059,130,254.3000,99.61,18.755,18.647,0.676,17.685,23.269,7.508,7.812,index.html
dcb,7,33059,130,254.3000,99.61,18.763,18.724,0.584,17.610,20.527,6.921,8.809,index.html
dcb,8,33059,130,254.3000,99.61,18.849,18.688,1.059,17.384,26.386,8.406,6.922,index.html
dcb,9,33059,130,254.3000,99.61,18.884,18.846,0.617,17.744,22.967,7.765,7.669,index.html
dcb,10,33059,126,262.3730,99.62,20.073,20.030,0.576,19.040,23.464,8.681,7.270,index.html
dcb,11,33059,124,266.6048,99.62,21.406,20.749,4.864,19.735,76.537,8.898,7.270,index.html
dcz,1,33059,625,52.8944,98.11,6.660,6.597,0.463,6.063,13.525,1.657,2.071,index.html
dcz,2,33059,628,52.6417,98.10,6.599,6.536,0.323,6.068,8.714,1.778,1.627,index.html
dcz,3,33059,810,40.8136,97.55,6.651,6.556,0.464,6.088,12.187,1.832,1.521,index.html
dcz,4,33059,603,54.8242,98.18,6.716,6.632,0.344,6.118,9.293,1.211,2.308,index.html
dcz,5,33059,516,64.0678,98.44,6.727,6.669,0.350,6.191,9.175,1.796,1.940,index.html
dcz,6,33059,550,60.1073,98.34,6.759,6.676,0.367,6.198,8.495,1.783,2.094,index.html
dcz,7,33059,550,60.1073,98.34,6.892,6.768,0.548,6.284,11.572,1.792,1.756,index.html
dcz,8,33059,550,60.1073,98.34,6.936,6.854,0.349,6.362,9.658,1.783,1.953,index.html
dcz,9,33059,552,59.8895,98.33,7.426,7.298,0.629,6.768,14.897,2.065,2.155,index.html
dcz,10,33059,552,59.8895,98.33,7.405,7.342,0.334,6.881,9.260,2.476,2.049,index.html
dcz,11,33059,500,66.1180,98.49,7.492,7.361,0.762,6.846,17.158,1.900,2.094,index.html
dcz,12,33059,499,66.2505,98.49,7.649,7.584,0.365,7.115,10.865,2.894,2.397,index.html
dcz,13,33059,503,65.7237,98.48,7.859,7.789,0.355,7.249,10.100,2.407,1.917,index.html
dcz,14,33059,500,66.1180,98.49,8.116,7.986,0.573,7.473,13.224,2.604,2.513,index.html
