algorithm,level,input_bytes,compressed_bytes,compression_ratio,savings_percent,mean_ms,median_ms,stddev_ms,min_ms,max_ms,user_ms,system_ms,input_file
gzip,1,33059,1139,29.0246,96.55,23.072,22.915,0.835,22.200,28.383,8.000,10.500,index.html
gzip,2,33059,1137,29.0756,96.56,23.114,22.886,1.392,21.845,34.119,10.000,10.125,index.html
gzip,3,33059,1137,29.0756,96.56,23.283,22.921,2.084,21.862,42.993,8.947,10.711,index.html
gzip,4,33059,1122,29.4643,96.61,22.930,22.871,0.693,21.673,27.856,9.527,10.925,index.html
gzip,5,33059,1122,29.4643,96.61,23.162,22.921,1.530,21.939,37.026,10.010,9.644,index.html
gzip,6,33059,1122,29.4643,96.61,22.903,22.814,0.529,22.117,25.164,9.625,8.875,index.html
gzip,7,33059,1122,29.4643,96.61,22.981,22.942,0.602,22.054,26.403,9.766,9.766,index.html
gzip,8,33059,1119,29.5433,96.62,23.158,22.954,1.289,22.154,35.640,9.500,8.875,index.html
gzip,9,33059,1119,29.5433,96.62,22.981,22.895,0.700,21.990,28.688,9.053,10.417,index.html
brotli,1,33059,882,37.4819,97.33,17.810,17.750,0.556,17.006,21.311,6.860,6.574,index.html
brotli,2,33059,735,44.9782,97.78,17.941,17.801,1.022,16.953,26.614,6.737,6.737,index.html
brotli,3,33059,693,47.7042,97.90,17.879,17.696,0.852,16.835,24.058,7.031,7.324,index.html
brotli,4,33059,647,51.0958,98.04,18.271,17.766,5.412,16.857,87.108,7.436,6.495,index.html
brotli,5,33059,623,53.0642,98.12,17.870,17.727,0.911,16.979,27.399,6.549,7.111,index.html
brotli,6,33059,623,53.0642,98.12,17.780,17.721,0.584,16.891,21.592,6.541,7.449,index.html
brotli,7,33059,623,53.0642,98.12,17.834,17.701,0.652,16.893,22.193,7.861,7.085,index.html
brotli,8,33059,623,53.0642,98.12,17.759,17.706,0.656,16.663,23.478,7.248,6.965,index.html
brotli,9,33059,624,52.9792,98.11,18.059,17.752,1.713,17.041,35.393,6.348,7.422,index.html
brotli,10,33059,603,54.8242,98.18,17.900,17.766,0.715,16.839,22.647,5.798,8.156,index.html
brotli,11,33059,678,48.7596,97.95,17.949,17.808,0.709,17.078,22.366,7.031,7.129,index.html
zstd,1,33059,727,45.4732,97.80,6.258,6.207,0.253,5.791,7.814,1.579,1.678,index.html
zstd,2,33059,730,45.2863,97.79,6.327,6.221,0.532,5.797,13.842,1.652,1.514,index.html
zstd,3,33059,707,46.7595,97.86,6.245,6.190,0.275,5.841,8.935,1.619,1.387,index.html
zstd,4,33059,713,46.3661,97.84,6.248,6.204,0.250,5.748,7.244,1.826,1.580,index.html
